real_2_i,real_3_i,real_4_i,real_5_i,real_6_i,real_7_i,real_8_i,real_9_i,real_10_i,real_11_i,real_12_i,real_13_i,real_14_i,real_15_i,real_16_i,real_17_i,real_18_i,real_19_i,real_20_i,game_2_i,game_3_i,game_4_i,game_5_i,game_6_i,game_7_i,game_8_i,game_9_i,game_10_i,game_11_i,game_12_i,game_13_i,game_14_i,game_15_i,game_16_i,game_17_i,game_18_i,game_19_i,game_20_i,gap_2_i,gap_3_i,gap_4_i,gap_5_i,gap_6_i,gap_7_i,gap_8_i,gap_9_i,gap_10_i,gap_11_i,gap_12_i,gap_13_i,gap_14_i,gap_15_i,gap_16_i,gap_17_i,gap_18_i,gap_19_i,gap_20_i
,tste_3_1_ct*real_emotionstability_ct,tste_4_1_ct*real_conscientiousness_ct,tste_5_3_ct*real_agreeableness_ct,tste_6_1_ct*real_agreeableness_ct,tste_7_6_ct*real_extraversion_ct,tste_8_5_ct*real_extraversion_ct,tste_9_4_ct*real_extraversion_ct,tste_10_3_ct*real_extraversion_ct,tste_11_2_ct*real_extraversion_ct,tste_12_1_ct*real_extraversion_ct,tste_13_0_ct*real_extraversion_ct,tste_14_13_ct,tste_15_13_ct,tste_16_13_ct,tste_17_13_ct,tste_18_13_ct,tste_19_13_ct,tste_20_13_ct,tste_2_0_ct*game_emotionstability_ct,tste_3_2_ct*game_agreeableness_ct,tste_4_0_ct*game_agreeableness_ct,tste_5_3_ct*game_extraversion_ct,tste_6_2_ct*game_extraversion_ct,tste_7_1_ct*game_extraversion_ct,tste_8_0_ct*game_extraversion_ct,tste_9_8_ct,tste_10_8_ct,tste_11_8_ct,tste_12_8_ct,tste_13_8_ct,tste_14_8_ct,tste_15_8_ct,tste_16_8_ct,tste_17_8_ct,tste_18_8_ct,tste_19_8_ct,tste_20_8_ct,tste_2_0_ct*gap_emotionstability,tste_3_2_ct*gap_agreeableness,tste_4_0_ct*gap_agreeableness,tste_5_3_ct*gap_extraversion,tste_6_2_ct*gap_extraversion,tste_7_1_ct*gap_extraversion,tste_8_0_ct*gap_extraversion,tste_9_8_ct,tste_10_8_ct,tste_11_8_ct,tste_12_8_ct,tste_13_8_ct,tste_14_8_ct,tste_15_8_ct,tste_16_8_ct,tste_17_8_ct,tste_18_8_ct,tste_19_8_ct,tste_20_8_ct
,tste_3_2_ct*real_emotionstability_ct,tste_4_2_ct*real_conscientiousness_ct,tste_5_4_ct*real_agreeableness_ct,tste_6_2_ct*real_agreeableness_ct,tste_7_0_ct*real_agreeableness_ct,tste_8_6_ct*real_extraversion_ct,tste_9_5_ct*real_extraversion_ct,tste_10_4_ct*real_extraversion_ct,tste_11_3_ct*real_extraversion_ct,tste_12_2_ct*real_extraversion_ct,tste_13_1_ct*real_extraversion_ct,tste_14_0_ct*real_extraversion_ct,tste_15_14_ct,tste_16_14_ct,tste_17_14_ct,tste_18_14_ct,tste_19_14_ct,tste_20_14_ct,tste_2_1_ct*game_emotionstability_ct,tste_3_0_ct*game_conscientiousness_ct,tste_4_1_ct*game_agreeableness_ct,tste_5_4_ct*game_extraversion_ct,tste_6_3_ct*game_extraversion_ct,tste_7_2_ct*game_extraversion_ct,tste_8_1_ct*game_extraversion_ct,tste_9_0_ct*game_extraversion_ct,tste_10_9_ct,tste_11_9_ct,tste_12_9_ct,tste_13_9_ct,tste_14_9_ct,tste_15_9_ct,tste_16_9_ct,tste_17_9_ct,tste_18_9_ct,tste_19_9_ct,tste_20_9_ct,tste_2_1_ct*gap_emotionstability,tste_3_0_ct*gap_conscientiousness,tste_4_1_ct*gap_agreeableness,tste_5_4_ct*gap_extraversion,tste_6_3_ct*gap_extraversion,tste_7_2_ct*gap_extraversion,tste_8_1_ct*gap_extraversion,tste_9_0_ct*gap_extraversion,tste_10_9_ct,tste_11_9_ct,tste_12_9_ct,tste_13_9_ct,tste_14_9_ct,tste_15_9_ct,tste_16_9_ct,tste_17_9_ct,tste_18_9_ct,tste_19_9_ct,tste_20_9_ct
,tste_3_0_ct*real_openness_ct,tste_4_3_ct*real_conscientiousness_ct,tste_5_0_ct*real_conscientiousness_ct,tste_6_3_ct*real_agreeableness_ct,tste_7_1_ct*real_agreeableness_ct,tste_8_7_ct*real_extraversion_ct,tste_9_6_ct*real_extraversion_ct,tste_10_5_ct*real_extraversion_ct,tste_11_4_ct*real_extraversion_ct,tste_12_3_ct*real_extraversion_ct,tste_13_2_ct*real_extraversion_ct,tste_14_1_ct*real_extraversion_ct,tste_15_0_ct*real_extraversion_ct,tste_16_15_ct,tste_17_15_ct,tste_18_15_ct,tste_19_15_ct,tste_20_15_ct,tste_2_0_ct*game_openness_ct,tste_3_1_ct*game_conscientiousness_ct,tste_4_2_ct*game_agreeableness_ct,tste_5_0_ct*game_agreeableness_ct,tste_6_4_ct*game_extraversion_ct,tste_7_3_ct*game_extraversion_ct,tste_8_2_ct*game_extraversion_ct,tste_9_1_ct*game_extraversion_ct,tste_10_0_ct*game_extraversion_ct,tste_11_10_ct,tste_12_10_ct,tste_13_10_ct,tste_14_10_ct,tste_15_10_ct,tste_16_10_ct,tste_17_10_ct,tste_18_10_ct,tste_19_10_ct,tste_20_10_ct,tste_2_0_ct*gap_openness,tste_3_1_ct*gap_conscientiousness,tste_4_2_ct*gap_agreeableness,tste_5_0_ct*gap_agreeableness,tste_6_4_ct*gap_extraversion,tste_7_3_ct*gap_extraversion,tste_8_2_ct*gap_extraversion,tste_9_1_ct*gap_extraversion,tste_10_0_ct*gap_extraversion,tste_11_10_ct,tste_12_10_ct,tste_13_10_ct,tste_14_10_ct,tste_15_10_ct,tste_16_10_ct,tste_17_10_ct,tste_18_10_ct,tste_19_10_ct,tste_20_10_ct
,tste_3_1_ct*real_openness_ct,tste_4_0_ct*real_emotionstability_ct,tste_5_1_ct*real_conscientiousness_ct,tste_6_4_ct*real_agreeableness_ct,tste_7_2_ct*real_agreeableness_ct,tste_8_0_ct*real_agreeableness_ct,tste_9_7_ct*real_extraversion_ct,tste_10_6_ct*real_extraversion_ct,tste_11_5_ct*real_extraversion_ct,tste_12_4_ct*real_extraversion_ct,tste_13_3_ct*real_extraversion_ct,tste_14_2_ct*real_extraversion_ct,tste_15_1_ct*real_extraversion_ct,tste_16_0_ct*real_extraversion_ct,tste_17_16_ct,tste_18_16_ct,tste_19_16_ct,tste_20_16_ct,tste_2_1_ct*game_openness_ct,tste_3_2_ct*game_conscientiousness_ct,tste_4_3_ct*game_agreeableness_ct,tste_5_1_ct*game_agreeableness_ct,tste_6_5_ct*game_extraversion_ct,tste_7_4_ct*game_extraversion_ct,tste_8_3_ct*game_extraversion_ct,tste_9_2_ct*game_extraversion_ct,tste_10_1_ct*game_extraversion_ct,tste_11_0_ct*game_extraversion_ct,tste_12_11_ct,tste_13_11_ct,tste_14_11_ct,tste_15_11_ct,tste_16_11_ct,tste_17_11_ct,tste_18_11_ct,tste_19_11_ct,tste_20_11_ct,tste_2_1_ct*gap_openness,tste_3_2_ct*gap_conscientiousness,tste_4_3_ct*gap_agreeableness,tste_5_1_ct*gap_agreeableness,tste_6_5_ct*gap_extraversion,tste_7_4_ct*gap_extraversion,tste_8_3_ct*gap_extraversion,tste_9_2_ct*gap_extraversion,tste_10_1_ct*gap_extraversion,tste_11_0_ct*gap_extraversion,tste_12_11_ct,tste_13_11_ct,tste_14_11_ct,tste_15_11_ct,tste_16_11_ct,tste_17_11_ct,tste_18_11_ct,tste_19_11_ct,tste_20_11_ct
,tste_3_2_ct*real_openness_ct,tste_4_1_ct*real_emotionstability_ct,tste_5_2_ct*real_conscientiousness_ct,tste_6_5_ct*real_agreeableness_ct,tste_7_3_ct*real_agreeableness_ct,tste_8_1_ct*real_agreeableness_ct,tste_9_8_ct*real_extraversion_ct,tste_10_7_ct*real_extraversion_ct,tste_11_6_ct*real_extraversion_ct,tste_12_5_ct*real_extraversion_ct,tste_13_4_ct*real_extraversion_ct,tste_14_3_ct*real_extraversion_ct,tste_15_2_ct*real_extraversion_ct,tste_16_1_ct*real_extraversion_ct,tste_17_0_ct*real_extraversion_ct,tste_18_17_ct,tste_19_17_ct,tste_20_17_ct,,tste_3_0_ct*game_emotionstability_ct,tste_4_0_ct*game_conscientiousness_ct,tste_5_2_ct*game_agreeableness_ct,tste_6_0_ct*game_agreeableness_ct,tste_7_5_ct*game_extraversion_ct,tste_8_4_ct*game_extraversion_ct,tste_9_3_ct*game_extraversion_ct,tste_10_2_ct*game_extraversion_ct,tste_11_1_ct*game_extraversion_ct,tste_12_0_ct*game_extraversion_ct,tste_13_12_ct,tste_14_12_ct,tste_15_12_ct,tste_16_12_ct,tste_17_12_ct,tste_18_12_ct,tste_19_12_ct,tste_20_12_ct,,tste_3_0_ct*gap_emotionstability,tste_4_0_ct*gap_conscientiousness,tste_5_2_ct*gap_agreeableness,tste_6_0_ct*gap_agreeableness,tste_7_5_ct*gap_extraversion,tste_8_4_ct*gap_extraversion,tste_9_3_ct*gap_extraversion,tste_10_2_ct*gap_extraversion,tste_11_1_ct*gap_extraversion,tste_12_0_ct*gap_extraversion,tste_13_12_ct,tste_14_12_ct,tste_15_12_ct,tste_16_12_ct,tste_17_12_ct,tste_18_12_ct,tste_19_12_ct,tste_20_12_ct
,,tste_4_2_ct*real_emotionstability_ct,tste_5_3_ct*real_conscientiousness_ct,tste_6_0_ct*real_conscientiousness_ct,tste_7_4_ct*real_agreeableness_ct,tste_8_2_ct*real_agreeableness_ct,tste_9_0_ct*real_agreeableness_ct,tste_10_8_ct*real_extraversion_ct,tste_11_7_ct*real_extraversion_ct,tste_12_6_ct*real_extraversion_ct,tste_13_5_ct*real_extraversion_ct,tste_14_4_ct*real_extraversion_ct,tste_15_3_ct*real_extraversion_ct,tste_16_2_ct*real_extraversion_ct,tste_17_1_ct*real_extraversion_ct,tste_18_0_ct*real_extraversion_ct,tste_19_18_ct,tste_20_18_ct,,tste_3_1_ct*game_emotionstability_ct,tste_4_1_ct*game_conscientiousness_ct,tste_5_3_ct*game_agreeableness_ct,tste_6_1_ct*game_agreeableness_ct,tste_7_6_ct*game_extraversion_ct,tste_8_5_ct*game_extraversion_ct,tste_9_4_ct*game_extraversion_ct,tste_10_3_ct*game_extraversion_ct,tste_11_2_ct*game_extraversion_ct,tste_12_1_ct*game_extraversion_ct,tste_13_0_ct*game_extraversion_ct,tste_14_13_ct,tste_15_13_ct,tste_16_13_ct,tste_17_13_ct,tste_18_13_ct,tste_19_13_ct,tste_20_13_ct,,tste_3_1_ct*gap_emotionstability,tste_4_1_ct*gap_conscientiousness,tste_5_3_ct*gap_agreeableness,tste_6_1_ct*gap_agreeableness,tste_7_6_ct*gap_extraversion,tste_8_5_ct*gap_extraversion,tste_9_4_ct*gap_extraversion,tste_10_3_ct*gap_extraversion,tste_11_2_ct*gap_extraversion,tste_12_1_ct*gap_extraversion,tste_13_0_ct*gap_extraversion,tste_14_13_ct,tste_15_13_ct,tste_16_13_ct,tste_17_13_ct,tste_18_13_ct,tste_19_13_ct,tste_20_13_ct
,,tste_4_3_ct*real_emotionstability_ct,tste_5_4_ct*real_conscientiousness_ct,tste_6_1_ct*real_conscientiousness_ct,tste_7_5_ct*real_agreeableness_ct,tste_8_3_ct*real_agreeableness_ct,tste_9_1_ct*real_agreeableness_ct,tste_10_9_ct*real_extraversion_ct,tste_11_8_ct*real_extraversion_ct,tste_12_7_ct*real_extraversion_ct,tste_13_6_ct*real_extraversion_ct,tste_14_5_ct*real_extraversion_ct,tste_15_4_ct*real_extraversion_ct,tste_16_3_ct*real_extraversion_ct,tste_17_2_ct*real_extraversion_ct,tste_18_1_ct*real_extraversion_ct,tste_19_0_ct*real_extraversion_ct,tste_20_19_ct,,tste_3_2_ct*game_emotionstability_ct,tste_4_2_ct*game_conscientiousness_ct,tste_5_4_ct*game_agreeableness_ct,tste_6_2_ct*game_agreeableness_ct,tste_7_0_ct*game_agreeableness_ct,tste_8_6_ct*game_extraversion_ct,tste_9_5_ct*game_extraversion_ct,tste_10_4_ct*game_extraversion_ct,tste_11_3_ct*game_extraversion_ct,tste_12_2_ct*game_extraversion_ct,tste_13_1_ct*game_extraversion_ct,tste_14_0_ct*game_extraversion_ct,tste_15_14_ct,tste_16_14_ct,tste_17_14_ct,tste_18_14_ct,tste_19_14_ct,tste_20_14_ct,,tste_3_2_ct*gap_emotionstability,tste_4_2_ct*gap_conscientiousness,tste_5_4_ct*gap_agreeableness,tste_6_2_ct*gap_agreeableness,tste_7_0_ct*gap_agreeableness,tste_8_6_ct*gap_extraversion,tste_9_5_ct*gap_extraversion,tste_10_4_ct*gap_extraversion,tste_11_3_ct*gap_extraversion,tste_12_2_ct*gap_extraversion,tste_13_1_ct*gap_extraversion,tste_14_0_ct*gap_extraversion,tste_15_14_ct,tste_16_14_ct,tste_17_14_ct,tste_18_14_ct,tste_19_14_ct,tste_20_14_ct
,,tste_4_0_ct*real_openness_ct,tste_5_0_ct*real_emotionstability_ct,tste_6_2_ct*real_conscientiousness_ct,tste_7_6_ct*real_agreeableness_ct,tste_8_4_ct*real_agreeableness_ct,tste_9_2_ct*real_agreeableness_ct,tste_10_0_ct*real_agreeableness_ct,tste_11_9_ct*real_extraversion_ct,tste_12_8_ct*real_extraversion_ct,tste_13_7_ct*real_extraversion_ct,tste_14_6_ct*real_extraversion_ct,tste_15_5_ct*real_extraversion_ct,tste_16_4_ct*real_extraversion_ct,tste_17_3_ct*real_extraversion_ct,tste_18_2_ct*real_extraversion_ct,tste_19_1_ct*real_extraversion_ct,tste_20_0_ct*real_extraversion_ct,,tste_3_0_ct*game_openness_ct,tste_4_3_ct*game_conscientiousness_ct,tste_5_0_ct*game_conscientiousness_ct,tste_6_3_ct*game_agreeableness_ct,tste_7_1_ct*game_agreeableness_ct,tste_8_7_ct*game_extraversion_ct,tste_9_6_ct*game_extraversion_ct,tste_10_5_ct*game_extraversion_ct,tste_11_4_ct*game_extraversion_ct,tste_12_3_ct*game_extraversion_ct,tste_13_2_ct*game_extraversion_ct,tste_14_1_ct*game_extraversion_ct,tste_15_0_ct*game_extraversion_ct,tste_16_15_ct,tste_17_15_ct,tste_18_15_ct,tste_19_15_ct,tste_20_15_ct,,tste_3_0_ct*gap_openness,tste_4_3_ct*gap_conscientiousness,tste_5_0_ct*gap_conscientiousness,tste_6_3_ct*gap_agreeableness,tste_7_1_ct*gap_agreeableness,tste_8_7_ct*gap_extraversion,tste_9_6_ct*gap_extraversion,tste_10_5_ct*gap_extraversion,tste_11_4_ct*gap_extraversion,tste_12_3_ct*gap_extraversion,tste_13_2_ct*gap_extraversion,tste_14_1_ct*gap_extraversion,tste_15_0_ct*gap_extraversion,tste_16_15_ct,tste_17_15_ct,tste_18_15_ct,tste_19_15_ct,tste_20_15_ct
,,tste_4_1_ct*real_openness_ct,tste_5_1_ct*real_emotionstability_ct,tste_6_3_ct*real_conscientiousness_ct,tste_7_0_ct*real_conscientiousness_ct,tste_8_5_ct*real_agreeableness_ct,tste_9_3_ct*real_agreeableness_ct,tste_10_1_ct*real_agreeableness_ct,tste_11_10_ct*real_extraversion_ct,tste_12_9_ct*real_extraversion_ct,tste_13_8_ct*real_extraversion_ct,tste_14_7_ct*real_extraversion_ct,tste_15_6_ct*real_extraversion_ct,tste_16_5_ct*real_extraversion_ct,tste_17_4_ct*real_extraversion_ct,tste_18_3_ct*real_extraversion_ct,tste_19_2_ct*real_extraversion_ct,tste_20_1_ct*real_extraversion_ct,,tste_3_1_ct*game_openness_ct,tste_4_0_ct*game_emotionstability_ct,tste_5_1_ct*game_conscientiousness_ct,tste_6_4_ct*game_agreeableness_ct,tste_7_2_ct*game_agreeableness_ct,tste_8_0_ct*game_agreeableness_ct,tste_9_7_ct*game_extraversion_ct,tste_10_6_ct*game_extraversion_ct,tste_11_5_ct*game_extraversion_ct,tste_12_4_ct*game_extraversion_ct,tste_13_3_ct*game_extraversion_ct,tste_14_2_ct*game_extraversion_ct,tste_15_1_ct*game_extraversion_ct,tste_16_0_ct*game_extraversion_ct,tste_17_16_ct,tste_18_16_ct,tste_19_16_ct,tste_20_16_ct,,tste_3_1_ct*gap_openness,tste_4_0_ct*gap_emotionstability,tste_5_1_ct*gap_conscientiousness,tste_6_4_ct*gap_agreeableness,tste_7_2_ct*gap_agreeableness,tste_8_0_ct*gap_agreeableness,tste_9_7_ct*gap_extraversion,tste_10_6_ct*gap_extraversion,tste_11_5_ct*gap_extraversion,tste_12_4_ct*gap_extraversion,tste_13_3_ct*gap_extraversion,tste_14_2_ct*gap_extraversion,tste_15_1_ct*gap_extraversion,tste_16_0_ct*gap_extraversion,tste_17_16_ct,tste_18_16_ct,tste_19_16_ct,tste_20_16_ct
,,tste_4_2_ct*real_openness_ct,tste_5_2_ct*real_emotionstability_ct,tste_6_4_ct*real_conscientiousness_ct,tste_7_1_ct*real_conscientiousness_ct,tste_8_6_ct*real_agreeableness_ct,tste_9_4_ct*real_agreeableness_ct,tste_10_2_ct*real_agreeableness_ct,tste_11_0_ct*real_agreeableness_ct,tste_12_10_ct*real_extraversion_ct,tste_13_9_ct*real_extraversion_ct,tste_14_8_ct*real_extraversion_ct,tste_15_7_ct*real_extraversion_ct,tste_16_6_ct*real_extraversion_ct,tste_17_5_ct*real_extraversion_ct,tste_18_4_ct*real_extraversion_ct,tste_19_3_ct*real_extraversion_ct,tste_20_2_ct*real_extraversion_ct,,tste_3_2_ct*game_openness_ct,tste_4_1_ct*game_emotionstability_ct,tste_5_2_ct*game_conscientiousness_ct,tste_6_5_ct*game_agreeableness_ct,tste_7_3_ct*game_agreeableness_ct,tste_8_1_ct*game_agreeableness_ct,tste_9_8_ct*game_extraversion_ct,tste_10_7_ct*game_extraversion_ct,tste_11_6_ct*game_extraversion_ct,tste_12_5_ct*game_extraversion_ct,tste_13_4_ct*game_extraversion_ct,tste_14_3_ct*game_extraversion_ct,tste_15_2_ct*game_extraversion_ct,tste_16_1_ct*game_extraversion_ct,tste_17_0_ct*game_extraversion_ct,tste_18_17_ct,tste_19_17_ct,tste_20_17_ct,,tste_3_2_ct*gap_openness,tste_4_1_ct*gap_emotionstability,tste_5_2_ct*gap_conscientiousness,tste_6_5_ct*gap_agreeableness,tste_7_3_ct*gap_agreeableness,tste_8_1_ct*gap_agreeableness,tste_9_8_ct*gap_extraversion,tste_10_7_ct*gap_extraversion,tste_11_6_ct*gap_extraversion,tste_12_5_ct*gap_extraversion,tste_13_4_ct*gap_extraversion,tste_14_3_ct*gap_extraversion,tste_15_2_ct*gap_extraversion,tste_16_1_ct*gap_extraversion,tste_17_0_ct*gap_extraversion,tste_18_17_ct,tste_19_17_ct,tste_20_17_ct
,,tste_4_3_ct*real_openness_ct,tste_5_3_ct*real_emotionstability_ct,tste_6_5_ct*real_conscientiousness_ct,tste_7_2_ct*real_conscientiousness_ct,tste_8_7_ct*real_agreeableness_ct,tste_9_5_ct*real_agreeableness_ct,tste_10_3_ct*real_agreeableness_ct,tste_11_1_ct*real_agreeableness_ct,tste_12_11_ct*real_extraversion_ct,tste_13_10_ct*real_extraversion_ct,tste_14_9_ct*real_extraversion_ct,tste_15_8_ct*real_extraversion_ct,tste_16_7_ct*real_extraversion_ct,tste_17_6_ct*real_extraversion_ct,tste_18_5_ct*real_extraversion_ct,tste_19_4_ct*real_extraversion_ct,tste_20_3_ct*real_extraversion_ct,,,tste_4_2_ct*game_emotionstability_ct,tste_5_3_ct*game_conscientiousness_ct,tste_6_0_ct*game_conscientiousness_ct,tste_7_4_ct*game_agreeableness_ct,tste_8_2_ct*game_agreeableness_ct,tste_9_0_ct*game_agreeableness_ct,tste_10_8_ct*game_extraversion_ct,tste_11_7_ct*game_extraversion_ct,tste_12_6_ct*game_extraversion_ct,tste_13_5_ct*game_extraversion_ct,tste_14_4_ct*game_extraversion_ct,tste_15_3_ct*game_extraversion_ct,tste_16_2_ct*game_extraversion_ct,tste_17_1_ct*game_extraversion_ct,tste_18_0_ct*game_extraversion_ct,tste_19_18_ct,tste_20_18_ct,,,tste_4_2_ct*gap_emotionstability,tste_5_3_ct*gap_conscientiousness,tste_6_0_ct*gap_conscientiousness,tste_7_4_ct*gap_agreeableness,tste_8_2_ct*gap_agreeableness,tste_9_0_ct*gap_agreeableness,tste_10_8_ct*gap_extraversion,tste_11_7_ct*gap_extraversion,tste_12_6_ct*gap_extraversion,tste_13_5_ct*gap_extraversion,tste_14_4_ct*gap_extraversion,tste_15_3_ct*gap_extraversion,tste_16_2_ct*gap_extraversion,tste_17_1_ct*gap_extraversion,tste_18_0_ct*gap_extraversion,tste_19_18_ct,tste_20_18_ct
,,,tste_5_4_ct*real_emotionstability_ct,tste_6_0_ct*real_emotionstability_ct,tste_7_3_ct*real_conscientiousness_ct,tste_8_0_ct*real_conscientiousness_ct,tste_9_6_ct*real_agreeableness_ct,tste_10_4_ct*real_agreeableness_ct,tste_11_2_ct*real_agreeableness_ct,tste_12_0_ct*real_agreeableness_ct,tste_13_11_ct*real_extraversion_ct,tste_14_10_ct*real_extraversion_ct,tste_15_9_ct*real_extraversion_ct,tste_16_8_ct*real_extraversion_ct,tste_17_7_ct*real_extraversion_ct,tste_18_6_ct*real_extraversion_ct,tste_19_5_ct*real_extraversion_ct,tste_20_4_ct*real_extraversion_ct,,,tste_4_3_ct*game_emotionstability_ct,tste_5_4_ct*game_conscientiousness_ct,tste_6_1_ct*game_conscientiousness_ct,tste_7_5_ct*game_agreeableness_ct,tste_8_3_ct*game_agreeableness_ct,tste_9_1_ct*game_agreeableness_ct,tste_10_9_ct*game_extraversion_ct,tste_11_8_ct*game_extraversion_ct,tste_12_7_ct*game_extraversion_ct,tste_13_6_ct*game_extraversion_ct,tste_14_5_ct*game_extraversion_ct,tste_15_4_ct*game_extraversion_ct,tste_16_3_ct*game_extraversion_ct,tste_17_2_ct*game_extraversion_ct,tste_18_1_ct*game_extraversion_ct,tste_19_0_ct*game_extraversion_ct,tste_20_19_ct,,,tste_4_3_ct*gap_emotionstability,tste_5_4_ct*gap_conscientiousness,tste_6_1_ct*gap_conscientiousness,tste_7_5_ct*gap_agreeableness,tste_8_3_ct*gap_agreeableness,tste_9_1_ct*gap_agreeableness,tste_10_9_ct*gap_extraversion,tste_11_8_ct*gap_extraversion,tste_12_7_ct*gap_extraversion,tste_13_6_ct*gap_extraversion,tste_14_5_ct*gap_extraversion,tste_15_4_ct*gap_extraversion,tste_16_3_ct*gap_extraversion,tste_17_2_ct*gap_extraversion,tste_18_1_ct*gap_extraversion,tste_19_0_ct*gap_extraversion,tste_20_19_ct
,,,tste_5_0_ct*real_openness_ct,tste_6_1_ct*real_emotionstability_ct,tste_7_4_ct*real_conscientiousness_ct,tste_8_1_ct*real_conscientiousness_ct,tste_9_7_ct*real_agreeableness_ct,tste_10_5_ct*real_agreeableness_ct,tste_11_3_ct*real_agreeableness_ct,tste_12_1_ct*real_agreeableness_ct,tste_13_12_ct*real_extraversion_ct,tste_14_11_ct*real_extraversion_ct,tste_15_10_ct*real_extraversion_ct,tste_16_9_ct*real_extraversion_ct,tste_17_8_ct*real_extraversion_ct,tste_18_7_ct*real_extraversion_ct,tste_19_6_ct*real_extraversion_ct,tste_20_5_ct*real_extraversion_ct,,,tste_4_0_ct*game_openness_ct,tste_5_0_ct*game_emotionstability_ct,tste_6_2_ct*game_conscientiousness_ct,tste_7_6_ct*game_agreeableness_ct,tste_8_4_ct*game_agreeableness_ct,tste_9_2_ct*game_agreeableness_ct,tste_10_0_ct*game_agreeableness_ct,tste_11_9_ct*game_extraversion_ct,tste_12_8_ct*game_extraversion_ct,tste_13_7_ct*game_extraversion_ct,tste_14_6_ct*game_extraversion_ct,tste_15_5_ct*game_extraversion_ct,tste_16_4_ct*game_extraversion_ct,tste_17_3_ct*game_extraversion_ct,tste_18_2_ct*game_extraversion_ct,tste_19_1_ct*game_extraversion_ct,tste_20_0_ct*game_extraversion_ct,,,tste_4_0_ct*gap_openness,tste_5_0_ct*gap_emotionstability,tste_6_2_ct*gap_conscientiousness,tste_7_6_ct*gap_agreeableness,tste_8_4_ct*gap_agreeableness,tste_9_2_ct*gap_agreeableness,tste_10_0_ct*gap_agreeableness,tste_11_9_ct*gap_extraversion,tste_12_8_ct*gap_extraversion,tste_13_7_ct*gap_extraversion,tste_14_6_ct*gap_extraversion,tste_15_5_ct*gap_extraversion,tste_16_4_ct*gap_extraversion,tste_17_3_ct*gap_extraversion,tste_18_2_ct*gap_extraversion,tste_19_1_ct*gap_extraversion,tste_20_0_ct*gap_extraversion
,,,tste_5_1_ct*real_openness_ct,tste_6_2_ct*real_emotionstability_ct,tste_7_5_ct*real_conscientiousness_ct,tste_8_2_ct*real_conscientiousness_ct,tste_9_8_ct*real_agreeableness_ct,tste_10_6_ct*real_agreeableness_ct,tste_11_4_ct*real_agreeableness_ct,tste_12_2_ct*real_agreeableness_ct,tste_13_0_ct*real_agreeableness_ct,tste_14_12_ct*real_extraversion_ct,tste_15_11_ct*real_extraversion_ct,tste_16_10_ct*real_extraversion_ct,tste_17_9_ct*real_extraversion_ct,tste_18_8_ct*real_extraversion_ct,tste_19_7_ct*real_extraversion_ct,tste_20_6_ct*real_extraversion_ct,,,tste_4_1_ct*game_openness_ct,tste_5_1_ct*game_emotionstability_ct,tste_6_3_ct*game_conscientiousness_ct,tste_7_0_ct*game_conscientiousness_ct,tste_8_5_ct*game_agreeableness_ct,tste_9_3_ct*game_agreeableness_ct,tste_10_1_ct*game_agreeableness_ct,tste_11_10_ct*game_extraversion_ct,tste_12_9_ct*game_extraversion_ct,tste_13_8_ct*game_extraversion_ct,tste_14_7_ct*game_extraversion_ct,tste_15_6_ct*game_extraversion_ct,tste_16_5_ct*game_extraversion_ct,tste_17_4_ct*game_extraversion_ct,tste_18_3_ct*game_extraversion_ct,tste_19_2_ct*game_extraversion_ct,tste_20_1_ct*game_extraversion_ct,,,tste_4_1_ct*gap_openness,tste_5_1_ct*gap_emotionstability,tste_6_3_ct*gap_conscientiousness,tste_7_0_ct*gap_conscientiousness,tste_8_5_ct*gap_agreeableness,tste_9_3_ct*gap_agreeableness,tste_10_1_ct*gap_agreeableness,tste_11_10_ct*gap_extraversion,tste_12_9_ct*gap_extraversion,tste_13_8_ct*gap_extraversion,tste_14_7_ct*gap_extraversion,tste_15_6_ct*gap_extraversion,tste_16_5_ct*gap_extraversion,tste_17_4_ct*gap_extraversion,tste_18_3_ct*gap_extraversion,tste_19_2_ct*gap_extraversion,tste_20_1_ct*gap_extraversion
